name	formula	exactmass	adduct	mz
CerP(d40:1)	C40H80NO6P	701.5723263	[M+H]+	702.5796028
CerP(t40:1)	C40H80NO7P	717.5672409	[M+H]+	718.5745174
CerP(d39:1)	C39H78NO6P	687.5566762	[M+H]+	688.5639527
CerP(t39:1)	C39H78NO7P	703.5515909	[M+H]+	704.5588673
CerP(d38:1)	C38H76NO6P	673.5410262	[M+H]+	674.5483026
CerP(t38:1)	C38H76NO7P	689.5359408	[M+H]+	690.5432172
CerP(d37:1)	C37H74NO6P	659.5253761	[M+H]+	660.5326526
CerP(t37:1)	C37H74NO7P	675.5202907	[M+H]+	676.5275672
CerP(d36:1)	C36H72NO6P	645.509726	[M+H]+	646.5170025
CerP(t36:1)	C36H72NO7P	661.5046407	[M+H]+	662.5119171
CerP(d35:1)	C35H70NO6P	631.494076	[M+H]+	632.5013524
CerP(t35:1)	C35H70NO7P	647.4889906	[M+H]+	648.496267
CerP(d34:1)	C34H68NO6P	617.4784259	[M+H]+	618.4857024
CerP(t34:1)	C34H68NO7P	633.4733405	[M+H]+	634.480617
CerP(d33:1)	C33H66NO6P	603.4627758	[M+H]+	604.4700523
CerP(t33:1)	C33H66NO7P	619.4576905	[M+H]+	620.4649669
CerP(d32:1)	C32H64NO6P	589.4471258	[M+H]+	590.4544022
CerP(t32:1)	C32H64NO7P	605.4420404	[M+H]+	606.4493169
CerP(d31:1)	C31H62NO6P	575.4314757	[M+H]+	576.4387522
CerP(t31:1)	C31H62NO7P	591.4263903	[M+H]+	592.4336668
CerP(d30:1)	C30H60NO6P	561.4158257	[M+H]+	562.4231021
CerP(t30:1)	C30H60NO7P	577.4107403	[M+H]+	578.4180167
CerP(d29:1)	C29H58NO6P	547.4001756	[M+H]+	548.407452
CerP(t29:1)	C29H58NO7P	563.3950902	[M+H]+	564.4023667
CerP(d47:1)	C47H94NO6P	799.6818767	[M+Na]+	822.6710974
CerP(t47:1)	C47H94NO7P	815.6767914	[M+Na]+	838.6660121
CerP(d46:1)	C46H92NO6P	785.6662267	[M+Na]+	808.6554474
CerP(t46:1)	C46H92NO7P	801.6611413	[M+Na]+	824.650362
CerP(d45:1)	C45H90NO6P	771.6505766	[M+Na]+	794.6397973
CerP(t45:1)	C45H90NO7P	787.6454912	[M+Na]+	810.6347119
CerP(d44:1)	C44H88NO6P	757.6349266	[M+Na]+	780.6241473
CerP(t44:1)	C44H88NO7P	773.6298412	[M+Na]+	796.6190619
CerP(d43:1)	C43H86NO6P	743.6192765	[M+Na]+	766.6084972
CerP(t43:1)	C43H86NO7P	759.6141911	[M+Na]+	782.6034118
CerP(d42:1)	C42H84NO6P	729.6036264	[M+Na]+	752.5928471
