id	lipid	formula	adduct	template_file
Lipid00155	PA(18:0_18:3)	C39H71O8P	NA	NA
Lipid00156	PA(18:2_18:2)	C39H69O8P	NA	NA
Lipid00157	PA(18:1_18:2)	C39H71O8P	NA	NA
Lipid00158	PA(18:0_18:2)	C39H73O8P	NA	NA
Lipid00159	PA(18:1_18:1)	C39H73O8P	NA	NA
Lipid00160	PA(18:0_18:1)	C39H75O8P	NA	NA
Lipid00161	PA(18:0_18:0)	C39H77O8P	NA	NA
Lipid00162	PA(13:0_22:0)	C38H75O8P	NA	NA
Lipid00163	PA(15:0_20:5)	C38H65O8P	NA	NA
Lipid00164	PA(15:0_20:4)	C38H67O8P	NA	NA
Lipid00165	PA(15:0_20:3)	C38H69O8P	NA	NA
Lipid00166	PA(15:0_20:2)	C38H71O8P	NA	NA
Lipid00167	PA(15:0_20:1)	C38H73O8P	NA	NA
Lipid00168	PA(15:0_20:0)	C38H75O8P	NA	NA
Lipid00169	PA(16:1_19:1)	C38H71O8P	NA	NA
Lipid00170	PA(16:1_19:0)	C38H73O8P	NA	NA
Lipid00171	PA(16:0_19:1)	C38H73O8P	NA	NA
Lipid00172	PA(16:0_19:0)	C38H75O8P	NA	NA
Lipid00173	PA(17:0_18:4)	C38H67O8P	NA	NA
Lipid00174	PA(17:0_18:3)	C38H69O8P	NA	NA
Lipid00175	PA(17:0_18:2)	C38H71O8P	NA	NA
Lipid00176	PA(17:0_18:1)	C38H73O8P	NA	NA
Lipid00177	PA(17:0_18:0)	C38H75O8P	NA	NA
Lipid00178	PA(17:1_18:4)	C38H65O8P	NA	NA
Lipid00179	PA(17:1_18:3)	C38H67O8P	NA	NA
Lipid00180	PA(17:1_18:2)	C38H69O8P	NA	NA
Lipid00181	PA(17:1_18:1)	C38H71O8P	NA	NA
Lipid00182	PA(17:1_18:0)	C38H73O8P	NA	NA
Lipid00183	PA(12:0_22:0)	C37H73O8P	NA	NA
