name	formula	exactmass	adduct	mz
PG(35:0)	C41H81O10P	764.5567358	[M-H]-	763.5494594
PG(35:5)	C41H71O10P	754.4784855	[M-H]-	753.471209
PG(35:4)	C41H73O10P	756.4941355	[M-H]-	755.4868591
PG(35:3)	C41H75O10P	758.5097856	[M-H]-	757.5025092
PG(35:2)	C41H77O10P	760.5254357	[M-H]-	759.5181592
PG(35:1)	C41H79O10P	762.5410857	[M-H]-	761.5338093
PG(34:0)	C40H79O10P	750.5410857	[M-H]-	749.5338093
PG(34:5)	C40H69O10P	740.4628354	[M-H]-	739.455559
PG(34:4)	C40H71O10P	742.4784855	[M-H]-	741.471209
PG(34:3)	C40H73O10P	744.4941355	[M-H]-	743.4868591
PG(34:2)	C40H75O10P	746.5097856	[M-H]-	745.5025092
PG(34:1)	C40H77O10P	748.5254357	[M-H]-	747.5181592
PG(33:5)	C39H67O10P	726.4471854	[M-H]-	725.4399089
PG(33:4)	C39H69O10P	728.4628354	[M-H]-	727.455559
PG(33:3)	C39H71O10P	730.4784855	[M-H]-	729.471209
PG(33:2)	C39H73O10P	732.4941355	[M-H]-	731.4868591
PG(33:1)	C39H75O10P	734.5097856	[M-H]-	733.5025092
PG(33:0)	C39H77O10P	736.5254357	[M-H]-	735.5181592
PG(32:5)	C38H65O10P	712.4315353	[M-H]-	711.4242588
PG(32:4)	C38H67O10P	714.4471854	[M-H]-	713.4399089
PG(32:3)	C38H69O10P	716.4628354	[M-H]-	715.455559
PG(32:2)	C38H71O10P	718.4784855	[M-H]-	717.471209
PG(32:1)	C38H73O10P	720.4941355	[M-H]-	719.4868591
PG(32:0)	C38H75O10P	722.5097856	[M-H]-	721.5025092
PG(31:1)	C37H71O10P	706.4784855	[M-H]-	705.471209
PG(31:0)	C37H73O10P	708.4941355	[M-H]-	707.4868591
PG(31:4)	C37H65O10P	700.4315353	[M-H]-	699.4242588
PG(31:3)	C37H67O10P	702.4471854	[M-H]-	701.4399089
PG(31:2)	C37H69O10P	704.4628354	[M-H]-	703.455559
PG(30:4)	C36H63O10P	686.4158852	[M-H]-	685.4086088
PG(30:3)	C36H65O10P	688.4315353	[M-H]-	687.4242588
PG(30:2)	C36H67O10P	690.4471854	[M-H]-	689.4399089
PG(30:1)	C36H69O10P	692.4628354	[M-H]-	691.455559
