name	formula	smiles	inchi	inchikey	exactmass	adduct	mz
PC(40:5)	C48H86NO8P	"NA"	"NA"	"NA"	835.6091057	[M+H]+	836.6163817
PC(39:0)	C47H94NO8P	"NA"	"NA"	"NA"	831.671706	[M+H]+	832.678982
PC(39:1)	C47H92NO8P	"NA"	"NA"	"NA"	829.6560559	[M+H]+	830.6633319
PC(39:5)	C47H84NO8P	"NA"	"NA"	"NA"	821.5934557	[M+H]+	822.6007317000001
PC(39:4)	C47H86NO8P	"NA"	"NA"	"NA"	823.6091057	[M+H]+	824.6163817
PC(39:3)	C47H88NO8P	"NA"	"NA"	"NA"	825.6247558	[M+H]+	826.6320318
PC(39:2)	C47H90NO8P	"NA"	"NA"	"NA"	827.6404059	[M+H]+	828.6476819000001
PC(39:6)	C47H82NO8P	"NA"	"NA"	"NA"	819.5778056	[M+H]+	820.5850816000001
PC(38:1)	C46H90NO8P	"NA"	"NA"	"NA"	815.6404059	[M+H]+	816.6476819000001
PC(38:0)	C46H92NO8P	"NA"	"NA"	"NA"	817.6560559	[M+H]+	818.6633319
PC(38:9)	C46H74NO8P	"NA"	"NA"	"NA"	799.5152053	[M+H]+	800.5224813000001
PC(38:8)	C46H76NO8P	"NA"	"NA"	"NA"	801.5308554	[M+H]+	802.5381314
PC(38:7)	C46H78NO8P	"NA"	"NA"	"NA"	803.5465055	[M+H]+	804.5537815
PC(38:6)	C46H80NO8P	"NA"	"NA"	"NA"	805.5621555	[M+H]+	806.5694315000001
PC(38:5)	C46H82NO8P	"NA"	"NA"	"NA"	807.5778056	[M+H]+	808.5850816000001
PC(38:4)	C46H84NO8P	"NA"	"NA"	"NA"	809.5934557	[M+H]+	810.6007317000001
PC(38:3)	C46H86NO8P	"NA"	"NA"	"NA"	811.6091057	[M+H]+	812.6163817
PC(38:2)	C46H88NO8P	"NA"	"NA"	"NA"	813.6247558	[M+H]+	814.6320318
PC(37:0)	C45H90NO8P	"NA"	"NA"	"NA"	803.6404059	[M+H]+	804.6476819000001
PC(37:5)	C45H80NO8P	"NA"	"NA"	"NA"	793.5621555	[M+H]+	794.5694315000001
PC(37:4)	C45H82NO8P	"NA"	"NA"	"NA"	795.5778056	[M+H]+	796.5850816000001
PC(37:3)	C45H84NO8P	"NA"	"NA"	"NA"	797.5934557	[M+H]+	798.6007317000001
PC(37:2)	C45H86NO8P	"NA"	"NA"	"NA"	799.6091057	[M+H]+	800.6163817
PC(37:1)	C45H88NO8P	"NA"	"NA"	"NA"	801.6247558	[M+H]+	802.6320318
PC(37:6)	C45H78NO8P	"NA"	"NA"	"NA"	791.5465055	[M+H]+	792.5537815
PC(36:0)	C44H88NO8P	"NA"	"NA"	"NA"	789.6247558	[M+H]+	790.6320318
PC(36:6)	C44H76NO8P	"NA"	"NA"	"NA"	777.5308554	[M+H]+	778.5381314
